Time,Wound Temperature,Wound pH,Moisture Level,Drug Release,Infection
132,39.5,6.01,60.8,32.7,Yes
134,39.5,6,60.3,36.7,Yes
136,39.5,5.99,60.1,28.9,Yes
138,39.5,5.97,60,36.9,Yes
140,39.5,5.93,59.7,37.7,Yes
142,39.5,5.93,59.9,31.5,Yes
144,39.5,5.9,59.9,35.5,Yes
146,39.5,5.88,59.3,35.9,Yes
148,39.5,5.87,58.7,34.4,Yes
150,39.5,5.84,58.4,36.1,Yes
152,39.5,5.82,58,36,Yes
154,39.5,5.8,57.6,42.2,Yes
156,39.5,5.78,56.7,41.1,Yes
158,39.5,5.77,56.2,42.2,Yes
160,39.5,5.75,55.9,41.6,Yes
162,39.5,5.72,55.8,38.4,Yes
164,39.5,5.68,55.8,40.2,Yes
166,39.5,5.68,55.5,42.7,Yes
168,39.5,5.64,55.4,39.8,Yes
170,39.5,5.63,55.3,44.1,Yes
172,39.5,5.62,55.2,42.7,Yes
174,39.5,5.59,55.1,43,Yes
176,39.5,5.57,54.4,45.6,Yes
178,39.5,5.55,54,45.6,Yes
180,39.5,5.54,53.7,44.5,Yes
182,39.5,5.52,53.1,48,Yes
184,39.5,5.51,52.8,44.1,Yes
186,39.5,5.48,52.6,48,Yes
188,39.5,5.45,52,48.4,Yes
190,39.5,5.44,51.6,47.1,Yes
192,39.5,5.41,51.5,48.9,Yes
194,39.5,5.4,51.3,46.2,Yes
196,39.5,5.4,51.1,51.1,Yes
198,39.5,5.4,51.1,49.4,Yes
200,39.5,5.4,50.6,49.2,Yes
202,39.5,5.4,50,52.9,Yes
204,39.5,5.4,49.9,49.8,Yes
206,39.5,5.4,49.5,48.9,Yes
208,39.5,5.4,49.4,49.1,Yes
210,39.5,5.4,49.1,54,Yes
212,39.5,5.4,49,50.7,Yes
214,39.5,5.4,48.8,57.3,Yes
216,39.5,5.4,48.5,50.1,Yes
218,39.5,5.4,48.4,58.2,Yes
220,39.5,5.4,48,55.7,Yes
222,39.5,5.4,47.8,55.6,Yes
224,39.5,5.4,47.5,55.2,Yes
226,39.5,5.4,47.4,57.6,Yes
228,39.5,5.4,47.2,57.2,Yes
230,39.5,5.4,46.7,60,Yes
232,39.5,5.4,46.3,58.5,Yes
234,39.5,5.4,46.2,59.1,Yes
236,39.5,5.4,45.9,58.6,Yes
238,39.5,5.4,45.5,59.7,Yes
240,39.5,5.4,45.5,60.9,Yes
242,39.5,5.4,45.1,57.4,Yes
244,39.5,5.4,44.9,58.6,Yes
246,39.5,5.4,44.5,63.3,Yes
248,39.5,5.4,44.4,62.7,Yes
250,39.5,5.4,44.4,62.4,Yes
252,39.5,5.4,44.5,63.4,Yes
254,39.5,5.4,44.1,64.5,Yes
256,39.5,5.4,43.8,63.2,Yes
258,39.5,5.4,43.7,63.3,Yes
260,39.5,5.4,43.2,65.7,Yes
262,39.5,5.4,43.3,63.9,Yes
264,39.5,5.4,43,67.1,Yes
266,39.5,5.4,42.9,63.4,Yes
268,39.5,5.4,42.8,69.4,Yes
270,39.5,5.4,42.5,68.8,Yes
272,39.5,5.4,42.3,68.9,Yes
274,39.5,5.4,42.1,70.8,Yes
276,39.5,5.4,41.6,72.7,Yes
278,39.5,5.4,41.4,71.9,Yes
280,39.5,5.4,40.9,66.7,Yes
282,39.5,5.4,40.9,68.3,Yes
284,39.5,5.4,40.5,70.1,Yes
286,39.5,5.4,39.9,71.9,Yes
288,39.5,5.4,40.1,73.4,Yes
290,39.5,5.4,39.9,71.4,Yes
292,39.5,5.4,39.5,73.7,Yes
294,39.5,5.4,39.3,72.4,Yes
296,39.5,5.4,38.9,73.1,Yes
298,39.5,5.4,38.7,72.1,Yes
300,39.5,5.4,38.4,73.5,Yes
302,39.5,5.4,38.1,73.2,Yes
304,39.5,5.4,37.6,74.4,Yes
306,39.5,5.4,37.2,79,Yes
308,39.5,5.4,36.9,75.5,Yes
310,39.5,5.4,36.7,83.2,Yes
312,39.5,5.4,36.4,79.4,Yes
314,39.5,5.4,36.2,79.3,Yes
316,39.5,5.4,35.9,77.7,Yes
318,39.5,5.4,35.6,81.3,Yes
320,39.5,5.4,35.3,79.3,Yes
322,39.5,5.4,34.6,81.1,Yes
324,39.5,5.4,34.1,86.5,Yes
326,39.5,5.4,33.9,81.7,Yes
328,39.5,5.4,33.3,84.7,Yes
330,39.5,5.4,33.1,81.5,Yes
332,39.5,5.4,33.2,83.3,Yes
334,39.5,5.4,33.1,87.5,Yes
336,39.5,5.4,33.2,83.2,Yes
338,39.5,5.4,33,88.5,Yes
340,39.5,5.4,32.6,86.8,Yes
342,39.5,5.4,32,84.8,Yes
344,39.5,5.4,31.6,87.7,Yes
346,39.5,5.4,31.4,88.9,Yes
348,39.5,5.4,30.9,88.7,Yes
350,39.5,5.4,31.1,84.8,Yes
352,39.5,5.4,30.7,87,Yes
354,39.5,5.4,30.3,88.4,Yes
356,39.5,5.4,30.3,89.3,Yes
358,39.5,5.4,29.7,91.2,Yes
360,39.5,5.4,29.4,90.8,Yes
362,39.5,5.4,29.1,88.3,Yes
364,39.5,5.4,28.7,92.2,Yes
366,39.5,5.4,28,93.2,Yes
368,39.5,5.4,27.6,93.6,Yes
370,39.5,5.4,27.3,95.1,Yes
372,39.5,5.4,27.1,95.1,Yes
374,39.5,5.4,26.9,94.9,Yes
376,39.5,5.4,26.5,94.3,Yes
378,39.5,5.4,26.3,91.7,Yes
380,39.5,5.4,26,96.3,Yes
382,39.5,5.4,25.8,96.4,Yes
384,39.5,5.4,25.4,97,Yes
386,39.5,5.4,25.1,94.4,Yes
388,39.5,5.4,24.6,95.3,Yes
390,39.5,5.4,24.4,100,Yes
392,39.5,5.4,24.1,98.4,Yes
394,39.5,5.4,24,100,Yes
396,39.5,5.4,23.8,99.6,Yes
398,39.5,5.4,23.4,100,Yes
